tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30, te band 31, te band 32, te band 33, te band 34, te band 35, te band 36, te band 37, te band 38, te band 39, te band 40, te band 41, te band 42, te band 43, te band 44, te band 45, te band 46, te band 47, te band 48, te band 49, te band 50, te band 51, te band 52, te band 53, te band 54, te band 55, te band 56, te band 57, te band 58, te band 59, te band 60, te band 61, te band 62, te band 63, te band 64, te band 65, te band 66, te band 67, te band 68, te band 69, te band 70, te band 71, te band 72, te band 73, te band 74, te band 75, te band 76, te band 77, te band 78, te band 79, te band 80, te band 81, te band 82, te band 83, te band 84, te band 85, te band 86, te band 87, te band 88, te band 89, te band 90, te band 91, te band 92, te band 93, te band 94, te band 95, te band 96, te band 97, te band 98, te band 99, te band 100, te band 101, te band 102, te band 103, te band 104, te band 105, te band 106, te band 107, te band 108, te band 109, te band 110, te band 111, te band 112, te band 113, te band 114, te band 115, te band 116, te band 117, te band 118, te band 119, te band 120, te band 121, te band 122, te band 123, te band 124, te band 125, te band 126, te band 127, te band 128, te band 129, te band 130, te band 131, te band 132, te band 133, te band 134, te band 135, te band 136, te band 137, te band 138, te band 139, te band 140, te band 141, te band 142, te band 143, te band 144, te band 145, te band 146, te band 147, te band 148, te band 149, te band 150, te band 151, te band 152, te band 153, te band 154, te band 155, te band 156, te band 157, te band 158, te band 159, te band 160, te band 161, te band 162, te band 163, te band 164, te band 165, te band 166, te band 167, te band 168, te band 169, te band 170, te band 171, te band 172, te band 173, te band 174, te band 175, te band 176, te band 177, te band 178, te band 179, te band 180
tefreqs:, 1, -0.5, 0, 0, 0.5, 0.347085, 0.347086, 0.349139, 0.349141, 0.349166, 0.349167, 0.355101, 0.355102, 0.355129, 0.355131, 0.364608, 0.364581, 0.364585, 0.36461, 0.376868, 0.376869, 0.376934, 0.376934, 0.391157, 0.391162, 0.392708, 0.392712, 0.408542, 0.408546, 0.408627, 0.408631, 0.424837, 0.424839, 0.424985, 0.424991, 0.440557, 0.440607, 0.440823, 0.440764, 0.453591, 0.453593, 0.454554, 0.454556, 0.468465, 0.468467, 0.473704, 0.473707, 0.489248, 0.489262, 0.491138, 0.491155, 0.496586, 0.496602, 0.497287, 0.497295, 0.502186, 0.502197, 0.5024, 0.502473, 0.505402, 0.505249, 0.505489, 0.5057, 0.513485, 0.513496, 0.591053, 0.591056, 0.593617, 0.593625, 0.594703, 0.594913, 0.596083, 0.596282, 0.59772, 0.59773, 0.597984, 0.597994, 0.59926, 0.599281, 0.601209, 0.601239, 0.60304, 0.602814, 0.603415, 0.603599, 0.615081, 0.615086, 0.618314, 0.618317, 0.620965, 0.620994, 0.622662, 0.622675, 0.624783, 0.624809, 0.627612, 0.627628, 0.628533, 0.628549, 0.628975, 0.629022, 0.629215, 0.629302, 0.62964, 0.62909, 0.62913, 0.629227, 0.629261, 0.629322, 0.629436, 0.62957, 0.629866, 0.629969, 0.630363, 0.630374, 0.640424, 0.640429, 0.642518, 0.642521, 0.644391, 0.644398, 0.645676, 0.645679, 0.647175, 0.64719, 0.776551, 0.776291, 0.778321, 0.778388, 0.779224, 0.779316, 0.779365, 0.77941, 0.779452, 0.779528, 0.780345, 0.781498, 0.780291, 0.781431, 0.781584, 0.781713, 0.781941, 0.782101, 0.782402, 0.782421, 0.787108, 0.787494, 0.787832, 0.787055, 0.78737, 0.787667, 0.787714, 0.787982, 0.792885, 0.792913, 0.798711, 0.798975, 0.799175, 0.799235, 0.798799, 0.798954, 0.799153, 0.799229, 0.822153, 0.822167, 0.82327, 0.82328, 0.825704, 0.825975, 0.827715, 0.827395, 0.830046, 0.830087, 0.832239, 0.83226, 0.838786, 0.838791, 0.841292, 0.841313, 0.843466, 0.843573, 0.845135, 0.845245, 0.846438, 0.846513
tefreqs:, 2, -0.48, 0, 0, 0.48, 0.334962, 0.337118, 0.337136, 0.343456, 0.343476, 0.353542, 0.353551, 0.358994, 0.360866, 0.36088, 0.366485, 0.366483, 0.366713, 0.366729, 0.375331, 0.375412, 0.381509, 0.381755, 0.387546, 0.388329, 0.397506, 0.398623, 0.403017, 0.403558, 0.415459, 0.416395, 0.418021, 0.4188, 0.431281, 0.431817, 0.434827, 0.435385, 0.44615, 0.446037, 0.449395, 0.450337, 0.457567, 0.458631, 0.466275, 0.466966, 0.475021, 0.475724, 0.485787, 0.492577, 0.487271, 0.494259, 0.494365, 0.495741, 0.498674, 0.49935, 0.501143, 0.501484, 0.503391, 0.503417, 0.505434, 0.505172, 0.505549, 0.505949, 0.513585, 0.513595, 0.591007, 0.591015, 0.593627, 0.593673, 0.594639, 0.59515, 0.595874, 0.596042, 0.596536, 0.59755, 0.597958, 0.599011, 0.599683, 0.599991, 0.601216, 0.601866, 0.603327, 0.602752, 0.603497, 0.6037, 0.612712, 0.61622, 0.617933, 0.619512, 0.621009, 0.621133, 0.622341, 0.623308, 0.624879, 0.625199, 0.627229, 0.62835, 0.628395, 0.628541, 0.62866, 0.628806, 0.629177, 0.629319, 0.629677, 0.628984, 0.62906, 0.629236, 0.629336, 0.629437, 0.629621, 0.629856, 0.63001, 0.630396, 0.630998, 0.631597, 0.640402, 0.640514, 0.642525, 0.642605, 0.644376, 0.644482, 0.645491, 0.645938, 0.647252, 0.647301, 0.776578, 0.776237, 0.778222, 0.778385, 0.779052, 0.779239, 0.779376, 0.779484, 0.779529, 0.779563, 0.780363, 0.781518, 0.780222, 0.781322, 0.781523, 0.781701, 0.781932, 0.782071, 0.782384, 0.78239, 0.786996, 0.787388, 0.787939, 0.787124, 0.787199, 0.78733, 0.787758, 0.788271, 0.792798, 0.792834, 0.798212, 0.799001, 0.799554, 0.799952, 0.797883, 0.798584, 0.79896, 0.799825, 0.821738, 0.821813, 0.823354, 0.823384, 0.824511, 0.82683, 0.82719, 0.828381, 0.829432, 0.830854, 0.831978, 0.832628, 0.838637, 0.838971, 0.840991, 0.84165, 0.843131, 0.843921, 0.844735, 0.845638, 0.846008, 0.846925
tefreqs:, 3, -0.46, 0, 0, 0.46, 0.322535, 0.324824, 0.324842, 0.331554, 0.331573, 0.342265, 0.342282, 0.356258, 0.356259, 0.370384, 0.372481, 0.372262, 0.372444, 0.372637, 0.377492, 0.377686, 0.384989, 0.385326, 0.391122, 0.392111, 0.396668, 0.3973, 0.410515, 0.41058, 0.410655, 0.41074, 0.424405, 0.424437, 0.428659, 0.428822, 0.438439, 0.438647, 0.445055, 0.444931, 0.451379, 0.451921, 0.461193, 0.461268, 0.463594, 0.464175, 0.477662, 0.478476, 0.482326, 0.483591, 0.491873, 0.492308, 0.495997, 0.499001, 0.499225, 0.499466, 0.501354, 0.502878, 0.503809, 0.503985, 0.505747, 0.50553, 0.506052, 0.506314, 0.513857, 0.513879, 0.59083, 0.59086, 0.593736, 0.593743, 0.594792, 0.594945, 0.594596, 0.596296, 0.596369, 0.597045, 0.598188, 0.599692, 0.600196, 0.601511, 0.60237, 0.602479, 0.603763, 0.603262, 0.603818, 0.604005, 0.610616, 0.614554, 0.618696, 0.620477, 0.621484, 0.621617, 0.623156, 0.623644, 0.625133, 0.626077, 0.627812, 0.627903, 0.627944, 0.62829, 0.628447, 0.628804, 0.628996, 0.62909, 0.629937, 0.628587, 0.629018, 0.629661, 0.630152, 0.630496, 0.630686, 0.630916, 0.631122, 0.631516, 0.632398, 0.633144, 0.640478, 0.64073, 0.642647, 0.642785, 0.644413, 0.644632, 0.64538, 0.646288, 0.647515, 0.647627, 0.776559, 0.776064, 0.77805, 0.778355, 0.778765, 0.779071, 0.779291, 0.77951, 0.779612, 0.779743, 0.780337, 0.781468, 0.7801, 0.781137, 0.781394, 0.781619, 0.781879, 0.782011, 0.782317, 0.78234, 0.786785, 0.787217, 0.788042, 0.786808, 0.786902, 0.787168, 0.787849, 0.788546, 0.792516, 0.792538, 0.795774, 0.79672, 0.797769, 0.799186, 0.799153, 0.800151, 0.800862, 0.801411, 0.82075, 0.820997, 0.823167, 0.823476, 0.823574, 0.826023, 0.82849, 0.82884, 0.829763, 0.831503, 0.83206, 0.833084, 0.838546, 0.839143, 0.840761, 0.841974, 0.842745, 0.844346, 0.84425, 0.845491, 0.846081, 0.847358
tefreqs:, 4, -0.44, 0, 0, 0.44, 0.309863, 0.312295, 0.31231, 0.319435, 0.319452, 0.330784, 0.330803, 0.345611, 0.345628, 0.363021, 0.363033, 0.381228, 0.381577, 0.381875, 0.383308, 0.38391, 0.387902, 0.387999, 0.396067, 0.396754, 0.400925, 0.402302, 0.408034, 0.408509, 0.418337, 0.418989, 0.422808, 0.423227, 0.431666, 0.431879, 0.440504, 0.444693, 0.444725, 0.440301, 0.456185, 0.456426, 0.458576, 0.460008, 0.4645, 0.466947, 0.478253, 0.478424, 0.481412, 0.482053, 0.489555, 0.49014, 0.497965, 0.498105, 0.49902, 0.502814, 0.503176, 0.503576, 0.503974, 0.505385, 0.50652, 0.50651, 0.506755, 0.507036, 0.514342, 0.514357, 0.590517, 0.590615, 0.593485, 0.593882, 0.593933, 0.595093, 0.595127, 0.596041, 0.596199, 0.597198, 0.598871, 0.59975, 0.601501, 0.602657, 0.603725, 0.603823, 0.604462, 0.603917, 0.604224, 0.604421, 0.608939, 0.613141, 0.617651, 0.620918, 0.621936, 0.6229, 0.624296, 0.624411, 0.626383, 0.626973, 0.627478, 0.627679, 0.627911, 0.628197, 0.628717, 0.62919, 0.629427, 0.629878, 0.631214, 0.628238, 0.629169, 0.630188, 0.630916, 0.631843, 0.632015, 0.632059, 0.63255, 0.633029, 0.634069, 0.634948, 0.640702, 0.641064, 0.642878, 0.643053, 0.644499, 0.644848, 0.645364, 0.646744, 0.647965, 0.648179, 0.776485, 0.775789, 0.777823, 0.778266, 0.778489, 0.778871, 0.779172, 0.779497, 0.779664, 0.779922, 0.780303, 0.781378, 0.779911, 0.780875, 0.781197, 0.78146, 0.781764, 0.781916, 0.782208, 0.782254, 0.786466, 0.786986, 0.788083, 0.786287, 0.78648, 0.787137, 0.787915, 0.78878, 0.792049, 0.792098, 0.794329, 0.795545, 0.796909, 0.798856, 0.798879, 0.800433, 0.80167, 0.8027, 0.81946, 0.819982, 0.822316, 0.823459, 0.823505, 0.825424, 0.829814, 0.828432, 0.830852, 0.831527, 0.832848, 0.833563, 0.838527, 0.839214, 0.84069, 0.842, 0.842679, 0.844759, 0.843761, 0.844964, 0.846494, 0.847757
tefreqs:, 5, -0.42, 0, 0, 0.42, 0.296973, 0.299558, 0.299571, 0.307134, 0.307149, 0.319155, 0.319172, 0.334834, 0.334853, 0.353243, 0.353258, 0.373304, 0.373345, 0.391497, 0.393336, 0.393337, 0.39378, 0.393915, 0.399118, 0.400708, 0.405123, 0.406232, 0.416279, 0.416346, 0.416795, 0.41701, 0.427246, 0.427402, 0.43493, 0.435563, 0.438989, 0.439535, 0.450435, 0.450268, 0.455182, 0.455334, 0.460584, 0.461678, 0.467484, 0.470302, 0.47493, 0.475157, 0.483246, 0.483979, 0.487303, 0.488496, 0.49661, 0.497018, 0.501797, 0.503236, 0.503281, 0.504904, 0.506881, 0.50716, 0.507189, 0.50691, 0.508514, 0.508655, 0.515017, 0.515023, 0.590022, 0.590331, 0.59266, 0.594173, 0.594199, 0.595247, 0.595354, 0.595597, 0.596627, 0.59827, 0.598971, 0.600764, 0.60205, 0.603086, 0.604561, 0.605581, 0.605738, 0.604803, 0.605017, 0.605557, 0.607895, 0.612074, 0.616782, 0.620696, 0.622266, 0.623098, 0.624664, 0.627143, 0.627055, 0.627337, 0.627338, 0.62767, 0.627763, 0.628173, 0.628742, 0.629449, 0.629816, 0.629989, 0.630914, 0.630151, 0.63185, 0.632296, 0.632531, 0.633144, 0.633253, 0.634035, 0.634353, 0.634803, 0.63603, 0.637018, 0.641296, 0.641567, 0.643203, 0.643401, 0.644621, 0.645025, 0.645564, 0.647359, 0.648654, 0.648986, 0.776346, 0.775416, 0.77754, 0.778003, 0.778314, 0.77865, 0.77902, 0.779449, 0.779674, 0.780028, 0.780313, 0.781248, 0.779653, 0.780542, 0.780941, 0.781235, 0.78159, 0.781786, 0.782071, 0.782144, 0.785708, 0.785993, 0.786267, 0.785845, 0.787014, 0.787695, 0.788705, 0.789164, 0.791306, 0.791424, 0.792914, 0.794354, 0.795979, 0.798211, 0.798658, 0.800675, 0.802421, 0.803953, 0.81796, 0.818836, 0.821472, 0.82324, 0.823256, 0.824814, 0.831049, 0.828234, 0.831554, 0.832165, 0.833815, 0.834038, 0.83861, 0.839149, 0.840817, 0.84165, 0.842988, 0.845149, 0.843265, 0.844421, 0.846872, 0.84811
tefreqs:, 6, -0.4, 0, 0, 0.4, 0.283884, 0.286633, 0.286643, 0.294675, 0.294687, 0.307406, 0.307421, 0.323972, 0.323989, 0.343385, 0.343405, 0.364606, 0.36461, 0.386324, 0.386471, 0.401933, 0.402081, 0.403368, 0.407494, 0.408036, 0.409753, 0.411136, 0.417021, 0.417566, 0.424305, 0.424894, 0.430978, 0.431019, 0.434855, 0.434969, 0.445595, 0.445607, 0.450591, 0.451237, 0.45586, 0.456853, 0.464507, 0.465621, 0.47008, 0.471397, 0.471935, 0.473438, 0.483377, 0.484194, 0.486917, 0.488464, 0.495308, 0.496106, 0.502429, 0.503085, 0.504863, 0.50638, 0.507635, 0.508044, 0.510684, 0.507614, 0.510371, 0.511005, 0.515889, 0.5159, 0.589469, 0.590033, 0.59216, 0.594516, 0.594622, 0.59572, 0.595399, 0.595636, 0.597342, 0.599126, 0.599323, 0.60196, 0.602601, 0.603341, 0.605248, 0.606749, 0.607331, 0.605708, 0.606157, 0.606684, 0.607867, 0.611468, 0.616187, 0.620465, 0.622619, 0.62356, 0.624949, 0.626809, 0.627048, 0.627071, 0.627565, 0.62779, 0.628229, 0.628931, 0.630186, 0.630468, 0.63067, 0.631473, 0.631985, 0.632757, 0.633476, 0.634137, 0.634408, 0.634833, 0.635308, 0.636178, 0.636578, 0.636956, 0.638319, 0.639413, 0.641839, 0.642162, 0.643638, 0.643786, 0.644771, 0.645098, 0.646062, 0.648169, 0.649598, 0.65006, 0.775003, 0.774943, 0.777566, 0.778042, 0.778283, 0.7785, 0.778864, 0.779389, 0.77966, 0.780028, 0.780442, 0.781086, 0.779321, 0.780135, 0.780641, 0.780952, 0.781365, 0.781616, 0.781908, 0.782003, 0.785038, 0.785355, 0.785756, 0.785256, 0.786838, 0.787674, 0.788802, 0.789305, 0.79033, 0.79064, 0.791678, 0.793201, 0.794994, 0.797561, 0.798131, 0.800653, 0.802929, 0.805086, 0.816417, 0.817721, 0.820834, 0.822933, 0.822964, 0.824511, 0.832194, 0.828094, 0.831602, 0.833228, 0.834454, 0.834749, 0.838781, 0.838976, 0.841086, 0.841255, 0.843357, 0.845505, 0.842773, 0.843869, 0.847208, 0.848414
tefreqs:, 7, -0.38, 0, 0, 0.38, 0.270615, 0.273541, 0.273549, 0.282084, 0.282094, 0.295571, 0.295584, 0.313063, 0.313079, 0.333508, 0.333527, 0.355832, 0.355848, 0.378906, 0.378939, 0.400783, 0.401331, 0.410474, 0.413676, 0.415511, 0.416233, 0.41855, 0.425223, 0.425279, 0.426482, 0.427426, 0.433092, 0.433432, 0.441573, 0.442203, 0.446523, 0.44808, 0.451741, 0.452133, 0.46066, 0.461533, 0.467293, 0.467646, 0.468298, 0.47048, 0.472779, 0.47624, 0.481978, 0.482128, 0.488406, 0.489707, 0.494239, 0.495507, 0.502056, 0.503014, 0.506937, 0.507384, 0.508272, 0.508908, 0.509334, 0.511624, 0.513485, 0.514365, 0.517031, 0.517034, 0.588977, 0.589843, 0.591968, 0.594954, 0.595249, 0.596445, 0.595371, 0.595997, 0.598112, 0.599537, 0.600213, 0.602817, 0.603004, 0.603528, 0.606026, 0.606647, 0.606724, 0.607867, 0.608539, 0.608742, 0.608977, 0.611335, 0.615874, 0.620323, 0.622938, 0.624046, 0.625359, 0.62725, 0.626874, 0.627009, 0.627622, 0.627945, 0.62844, 0.629339, 0.631076, 0.631348, 0.631593, 0.63318, 0.635438, 0.634373, 0.63588, 0.63604, 0.636592, 0.636895, 0.638019, 0.638655, 0.639019, 0.639357, 0.640889, 0.642098, 0.642655, 0.642939, 0.644176, 0.644205, 0.644957, 0.645146, 0.646886, 0.649284, 0.650845, 0.651452, 0.774473, 0.774374, 0.777058, 0.777712, 0.777968, 0.778095, 0.778453, 0.77896, 0.779318, 0.779653, 0.779971, 0.780438, 0.779515, 0.780001, 0.780756, 0.781082, 0.781484, 0.781526, 0.781878, 0.781899, 0.784266, 0.784616, 0.785203, 0.784602, 0.786582, 0.787546, 0.788716, 0.788893, 0.78948, 0.789721, 0.790553, 0.792037, 0.793939, 0.796337, 0.79797, 0.800672, 0.803354, 0.806079, 0.814849, 0.816723, 0.820325, 0.822486, 0.822525, 0.82431, 0.833223, 0.828115, 0.83172, 0.834238, 0.834789, 0.835648, 0.838768, 0.839043, 0.84086, 0.841424, 0.843714, 0.845819, 0.842286, 0.843311, 0.847492, 0.848655
tefreqs:, 8, -0.36, 0, 0, 0.36, 0.257182, 0.260301, 0.260308, 0.269387, 0.269395, 0.283682, 0.283693, 0.302148, 0.302162, 0.323655, 0.323673, 0.347088, 0.347107, 0.371359, 0.371359, 0.395092, 0.395256, 0.413936, 0.416248, 0.421746, 0.42479, 0.425933, 0.428943, 0.429363, 0.433049, 0.433531, 0.439994, 0.44067, 0.443103, 0.444316, 0.448866, 0.449953, 0.45725, 0.457296, 0.464386, 0.464735, 0.465568, 0.465943, 0.471032, 0.473254, 0.475058, 0.478389, 0.48, 0.480793, 0.489357, 0.490476, 0.493913, 0.495488, 0.50183, 0.503017, 0.5074, 0.508732, 0.509824, 0.510456, 0.510474, 0.513178, 0.515731, 0.517375, 0.518603, 0.518656, 0.588648, 0.589698, 0.591932, 0.595259, 0.59555, 0.595616, 0.596849, 0.597516, 0.598888, 0.60026, 0.60072, 0.602936, 0.603893, 0.604375, 0.606645, 0.607658, 0.608017, 0.608914, 0.60985, 0.610359, 0.610422, 0.611606, 0.615864, 0.620341, 0.623263, 0.624581, 0.625899, 0.627702, 0.6268, 0.627019, 0.627865, 0.628195, 0.628789, 0.629877, 0.631974, 0.632392, 0.632621, 0.634508, 0.639528, 0.63629, 0.637833, 0.637844, 0.639313, 0.640236, 0.640903, 0.64146, 0.641683, 0.642046, 0.64375, 0.645076, 0.643525, 0.643814, 0.644613, 0.644746, 0.645193, 0.645266, 0.648033, 0.650737, 0.652456, 0.653184, 0.773874, 0.773678, 0.776526, 0.777339, 0.777589, 0.777774, 0.778106, 0.778695, 0.779083, 0.779457, 0.779785, 0.780513, 0.779093, 0.779567, 0.780434, 0.780831, 0.781318, 0.781354, 0.781749, 0.781774, 0.783163, 0.783262, 0.784239, 0.784483, 0.786294, 0.787052, 0.787894, 0.788131, 0.789182, 0.789364, 0.789857, 0.790945, 0.792879, 0.795463, 0.797317, 0.800382, 0.803475, 0.806805, 0.813309, 0.815991, 0.820069, 0.821982, 0.822053, 0.824311, 0.834124, 0.828159, 0.831824, 0.834945, 0.835172, 0.836451, 0.838537, 0.839332, 0.8405, 0.841767, 0.844037, 0.846073, 0.841804, 0.842748, 0.847711, 0.848827
tefreqs:, 9, -0.34, 0, 0, 0.34, 0.243599, 0.246931, 0.246936, 0.25661, 0.256617, 0.271773, 0.271782, 0.291267, 0.291279, 0.313871, 0.313887, 0.338425, 0.338444, 0.363833, 0.363845, 0.388909, 0.388971, 0.41138, 0.412212, 0.426389, 0.432538, 0.43314, 0.434731, 0.436259, 0.439143, 0.439837, 0.441196, 0.445746, 0.447614, 0.447669, 0.454871, 0.455487, 0.4621, 0.460331, 0.462083, 0.464542, 0.468779, 0.469772, 0.473566, 0.475772, 0.477413, 0.478081, 0.478435, 0.481802, 0.489708, 0.490181, 0.494725, 0.495991, 0.501923, 0.503199, 0.508042, 0.509355, 0.511683, 0.511981, 0.512077, 0.514589, 0.517465, 0.519427, 0.52058, 0.521177, 0.588529, 0.589753, 0.592105, 0.595542, 0.596195, 0.596253, 0.597752, 0.59807, 0.599624, 0.60099, 0.601131, 0.603662, 0.604715, 0.605309, 0.607396, 0.608706, 0.609406, 0.609845, 0.611074, 0.611664, 0.612254, 0.61231, 0.616137, 0.620523, 0.623605, 0.62507, 0.626356, 0.62719, 0.626821, 0.627276, 0.628679, 0.629043, 0.629275, 0.630668, 0.63323, 0.633615, 0.633809, 0.636205, 0.643802, 0.638445, 0.639647, 0.639943, 0.642081, 0.643791, 0.643864, 0.644203, 0.644607, 0.644761, 0.644841, 0.64579, 0.644799, 0.644945, 0.645168, 0.645226, 0.647097, 0.648281, 0.649873, 0.652719, 0.654485, 0.655206, 0.773144, 0.772865, 0.775932, 0.776888, 0.777104, 0.777407, 0.777751, 0.778413, 0.778778, 0.779232, 0.779637, 0.780578, 0.778562, 0.779108, 0.780066, 0.78055, 0.781124, 0.781173, 0.781607, 0.781637, 0.782059, 0.782253, 0.783487, 0.783762, 0.785545, 0.78568, 0.787158, 0.787326, 0.788648, 0.788929, 0.789775, 0.789958, 0.791793, 0.794477, 0.796565, 0.799929, 0.803352, 0.807132, 0.811798, 0.815663, 0.819994, 0.821369, 0.821466, 0.8244, 0.834879, 0.828386, 0.832013, 0.835151, 0.835913, 0.837154, 0.838371, 0.839597, 0.840256, 0.842104, 0.844321, 0.846273, 0.841345, 0.842189, 0.847864, 0.848922
tefreqs:, 10, -0.32, 0, 0, 0.32, 0.229881, 0.233449, 0.233453, 0.243779, 0.243785, 0.25988, 0.259888, 0.28046, 0.280471, 0.304201, 0.304216, 0.32989, 0.329907, 0.356421, 0.356437, 0.382691, 0.382713, 0.406999, 0.407398, 0.426468, 0.432639, 0.439073, 0.440779, 0.442904, 0.443474, 0.4459, 0.448057, 0.450586, 0.45298, 0.453823, 0.45967, 0.460312, 0.460783, 0.461155, 0.466399, 0.46801, 0.471935, 0.472876, 0.475452, 0.476463, 0.47783, 0.478444, 0.47985, 0.483709, 0.489542, 0.489791, 0.495974, 0.496665, 0.502484, 0.503512, 0.508933, 0.509944, 0.513024, 0.513402, 0.514063, 0.515942, 0.518929, 0.521223, 0.522883, 0.52392, 0.588639, 0.58998, 0.592431, 0.595942, 0.596755, 0.59695, 0.598196, 0.598797, 0.600411, 0.601718, 0.601981, 0.604679, 0.605751, 0.606249, 0.608365, 0.610056, 0.6109, 0.610713, 0.612122, 0.612711, 0.613183, 0.614032, 0.616677, 0.620875, 0.623963, 0.625503, 0.626796, 0.627386, 0.626921, 0.627448, 0.629256, 0.629814, 0.62991, 0.631631, 0.6346, 0.634993, 0.635172, 0.638205, 0.641489, 0.640767, 0.642174, 0.645075, 0.645296, 0.645326, 0.645384, 0.645524, 0.64586, 0.646331, 0.64706, 0.647306, 0.647243, 0.647554, 0.648218, 0.648343, 0.650651, 0.651708, 0.652565, 0.655259, 0.657012, 0.657849, 0.772309, 0.77195, 0.775262, 0.776301, 0.776489, 0.776824, 0.777363, 0.77749, 0.778051, 0.778588, 0.779054, 0.779694, 0.778738, 0.779663, 0.780125, 0.780455, 0.780814, 0.780971, 0.781157, 0.781258, 0.781558, 0.781563, 0.782667, 0.782833, 0.783957, 0.784631, 0.786321, 0.786468, 0.788124, 0.78834, 0.78934, 0.789704, 0.790683, 0.793385, 0.795833, 0.799367, 0.803033, 0.807013, 0.81036, 0.815841, 0.820101, 0.820741, 0.820964, 0.824669, 0.835512, 0.828605, 0.832177, 0.835245, 0.836531, 0.837614, 0.83831, 0.839545, 0.840321, 0.842395, 0.844543, 0.846388, 0.840893, 0.841631, 0.847933, 0.848931
tefreqs:, 11, -0.3, 0, 0, 0.3, 0.216041, 0.219872, 0.219875, 0.230922, 0.230927, 0.24804, 0.248046, 0.269772, 0.269781, 0.294689, 0.294702, 0.321526, 0.321542, 0.349168, 0.349186, 0.376563, 0.376566, 0.402246, 0.402472, 0.424118, 0.428634, 0.443081, 0.444799, 0.448038, 0.449599, 0.451861, 0.453871, 0.456465, 0.457333, 0.458983, 0.461324, 0.462946, 0.465268, 0.465073, 0.469838, 0.471647, 0.47459, 0.475022, 0.475897, 0.476985, 0.479344, 0.47994, 0.48214, 0.485501, 0.489089, 0.490018, 0.497278, 0.497306, 0.503555, 0.503999, 0.510086, 0.510652, 0.514443, 0.514789, 0.515879, 0.517168, 0.520269, 0.523035, 0.525133, 0.526475, 0.588979, 0.590393, 0.592917, 0.596477, 0.596963, 0.597269, 0.598758, 0.59994, 0.601314, 0.602849, 0.602902, 0.605746, 0.607024, 0.607192, 0.609405, 0.611447, 0.611897, 0.611627, 0.613027, 0.613605, 0.614696, 0.615738, 0.617439, 0.621377, 0.62439, 0.625951, 0.627278, 0.627625, 0.627082, 0.627706, 0.629895, 0.630641, 0.630686, 0.63272, 0.636125, 0.636377, 0.636617, 0.640233, 0.643476, 0.643106, 0.644595, 0.64531, 0.645482, 0.645782, 0.646345, 0.64702, 0.648221, 0.648465, 0.64974, 0.65031, 0.650149, 0.650999, 0.652455, 0.652867, 0.654169, 0.655084, 0.656048, 0.658363, 0.660041, 0.660822, 0.770931, 0.770854, 0.774511, 0.775622, 0.776028, 0.77626, 0.776673, 0.777017, 0.777715, 0.778282, 0.778733, 0.779488, 0.7782, 0.779398, 0.779446, 0.77984, 0.779971, 0.780269, 0.780776, 0.781188, 0.78151, 0.78153, 0.781773, 0.781402, 0.782637, 0.783255, 0.785413, 0.785576, 0.787495, 0.787747, 0.789107, 0.789427, 0.789822, 0.792322, 0.79489, 0.798661, 0.802503, 0.806481, 0.808966, 0.816456, 0.81987, 0.820042, 0.820941, 0.82504, 0.836009, 0.828932, 0.832373, 0.835306, 0.837019, 0.837653, 0.838594, 0.839314, 0.84058, 0.842635, 0.844699, 0.846417, 0.840478, 0.841087, 0.847923, 0.848853
